concept_id,concept_code,concept_name,concept_class_id,parent_concept_id,member_ingredient_count,member_drug_count
21605171,S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,21605144,0,1004
21605204,S03C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,21605187,1,1098
21605456,V09B,SKELETON,ATC 3rd,21605444,2,2
947896,N04C,OTHER ANTIPARKINSON DRUGS,ATC 3rd,21604443,1,11
955111,C02KN,Other antihypertensives,ATC 4th,21600438,1,7
21600078,A02AH,Antacids with sodium bicarbonate,ATC 4th,21600047,0,0
21600808,A11B,"MULTIVITAMINS, PLAIN",ATC 3rd,21600800,0,0
21600834,A11EX,"Vitamin B-complex, other combinations",ATC 4th,21600829,0,0
21600380,C01EX,Other cardiac combination products,ATC 4th,21600360,0,0
21601737,C07EB,"Beta blocking agents, selective, and vasodilators",ATC 4th,21601735,0,0
21603443,R05X,OTHER COLD PREPARATIONS,ATC 3rd,21603365,0,0
21605111,S01JX,Other ophthalmological diagnostic agents,ATC 4th,21605106,0,0
21605345,V06B,PROTEIN SUPPLEMENTS,ATC 3rd,21605342,0,0
21605354,V06DD,"Amino acids, incl. combinations with polypeptides",ATC 4th,21605348,0,0
21605361,V07AB,"Solvents and diluting agents, incl. irrigating solutions",ATC 4th,21605359,0,0
21605593,V20,SURGICAL DRESSINGS,ATC 2nd,21605212,0,0
21600221,A03DA,Synthetic anticholinergic agents in combination with analgesics,ATC 4th,21600220,1,17
21600596,A06AX,Other drugs for constipation,ATC 4th,21600532,11,409
21600662,A07EC,Aminosalicylic acid and similar agents,ATC 4th,21600651,4,187
21600728,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",ATC 4th,21600713,14,584
21600836,A11GA,"Ascorbic acid (vitamin C), plain",ATC 4th,21600835,1,281
21601032,B02,ANTIHEMORRHAGICS,ATC 2nd,21600959,44,1287
21601167,B05C,IRRIGATING SOLUTIONS,ATC 3rd,21601136,33,2533
21600279,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,ATC 3rd,21601238,31,1161
21600316,C01DA,Organic nitrates,ATC 4th,21600315,8,714
21600363,C01EB,Other cardiac preparations,ATC 4th,21600360,16,1033
21600434,C02DD,Nitroferricyanide derivatives,ATC 4th,21600424,1,29
21600451,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,ATC 3rd,21600381,0,273
21601484,C03AH,"Thiazides, combinations with psycholeptics and/or analgesics",ATC 4th,21601462,0,30
21601682,C07AB,"Beta blocking agents, selective",ATC 4th,21601665,11,336
21601772,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,ATC 3rd,21601744,4,36
21601779,C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,ATC 3rd,21601744,0,131
21601875,C10AC,Bile acid sequestrants,ATC 4th,21601854,3,54
21601939,D01AE,Other antifungals for topical use,ATC 4th,21601909,17,2312
21602281,D10,ANTI-ACNE PREPARATIONS,ATC 2nd,21601907,27,3402
21602325,D11AA,Antihidrotics,ATC 4th,21602324,2,94
21602326,D11AC,Medicated shampoos,ATC 4th,21602324,19,2616
21602431,G02AB,Ergot alkaloids,ATC 4th,21602430,3,41
21602597,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,ATC 3rd,21602471,10,237
21602645,G04BE,Drugs used in erectile dysfunction,ATC 4th,21602628,9,442
21602689,H01AC,Somatropin and somatropin agonists,ATC 4th,21602683,9,364
21602697,H01B,POSTERIOR PITUITARY LOBE HORMONES,ATC 3rd,21602682,6,156
21602796,J01,ANTIBACTERIALS FOR SYSTEMIC USE,ATC 2nd,21602795,187,7470
21602819,J01CA,Penicillins with extended spectrum,ATC 4th,21602818,16,956
21602929,J01E,SULFONAMIDES AND TRIMETHOPRIM,ATC 3rd,21602796,18,1149
21603811,L01XY,Combinations of antineoplastic agents,ATC 4th,21603746,0,5
21603829,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,ATC 3rd,21603812,19,247
21603834,L02BB,Anti-androgens,ATC 4th,21603829,6,74
21604065,M02AX,Other topical products for joint and muscular pain,ATC 4th,21604035,4,57
21604416,N03AF,Carboxamide derivatives,ATC 4th,21604390,4,200
21604489,N05,PSYCHOLEPTICS,ATC 2nd,21604180,143,4130
21604540,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",ATC 4th,21604490,6,293
21604564,N05B,ANXIOLYTICS,ATC 3rd,21604489,23,962
21604911,P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,ATC 3rd,21604848,10,109
21604939,P02C,ANTINEMATODAL AGENTS,ATC 3rd,21604927,13,622
21604951,P02CC,Tetrahydropyrimidine derivatives,ATC 4th,21604939,2,148
21604954,P02CE,Imidazothiazole derivatives,ATC 4th,21604939,1,19
21605000,P03BX,Other insecticides and repellents,ATC 4th,21604994,4,4
21605042,R01AD,Corticosteroids,ATC 4th,21605009,11,2272
21603353,R03DC,Leukotriene receptor antagonists,ATC 4th,21603327,2,37
21603409,R05DB,Other cough suppressants,ATC 4th,21603395,48,2553
21603491,R06AE,Piperazine derivatives,ATC 4th,21603445,7,310
21603650,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,ATC 3rd,21603551,11,2873
21603671,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,ATC 3rd,21603551,33,1222
21603709,S01EE,Prostaglandin analogues,ATC 4th,21603671,6,85
21605071,S01G,DECONGESTANTS AND ANTIALLERGICS,ATC 3rd,21603551,20,1531
21605214,V01A,ALLERGENS,ATC 3rd,21605213,429,2350
21605215,V01AA,Allergen extracts,ATC 4th,21605214,429,2350
21605301,V04CB,Tests for fat absorption,ATC 4th,21605297,1,86
21605325,V04CH,Tests for renal function and ureteral injuries,ATC 4th,21605297,5,40
21605348,V06D,OTHER NUTRIENTS,ATC 3rd,21605342,2,207
21605372,V08,CONTRAST MEDIA,ATC 2nd,21605212,45,150
21605385,V08AB,"Watersoluble, nephrotropic, low osmolar X-ray contrast media",ATC 4th,21605373,12,58
21605491,V09E,RESPIRATORY SYSTEM,ATC 3rd,21605444,2,7
21605531,V09HB,Indium (111In) compounds,ATC 4th,21605525,1,1
21605562,V09XX,Various diagnostic radiopharmaceuticals,ATC 4th,21605557,2,8
947830,L01EA,BCR-ABL tyrosine kinase inhibitors,ATC 4th,947753,6,152
947841,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,ATC 4th,947753,5,71
947853,L01EF,Cyclin-dependent kinase (CDK) inhibitors,ATC 4th,947753,3,55
947869,L01XK,Poly (ADP-ribose) polymerase (PARP) inhibitors,ATC 4th,21603746,4,87
955112,A10XX,Other drugs used in diabetes,ATC 4th,21600797,2,18
21600077,A02AG,Antacids with antispasmodics,ATC 4th,21600047,0,0
21600126,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,ATC 3rd,21600046,0,0
21600833,A11ED,Vitamin B-complex with anabolic steroids,ATC 4th,21600829,0,0
21600874,A12AX,"Calcium, combinations with vitamin D and/or other drugs",ATC 4th,21600858,0,0
21600931,A15,APPETITE STIMULANTS,ATC 2nd,21600001,0,0
21601219,B05XC,Vitamins,ATC 4th,21601194,0,0
21602097,D06C,"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",ATC 3rd,21602054,0,0
